Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
724053002,68322007,Antibiotic therapy for prevention of recurrent infection (procedure),Administration of antibiotic (procedure)
241465006,303809004,Ultrasound scan of upper limb vessels (procedure),Angiography of systems (procedure)
287744008,118961005,Graft to ureter (procedure),Introduction to urinary tract (procedure)
473214002,118811002,Suture plication of artery for control of gastric hemorrhage (procedure),Procedure on artery of abdomen (procedure)
473214002,386218004,Suture plication of artery for control of gastric hemorrhage (procedure),Control of hemorrhage of gastrointestinal tract (procedure)
473214002,373392003,Suture plication of artery for control of gastric hemorrhage (procedure),Vascular surgery procedure on abdominal region (procedure)
446684002,446938009,Biopsy of orbit proper (procedure),Biopsy of eye proper (procedure)
405347000,39312001,Thrombolysis of aorta (procedure),Destructive procedure of aorta (procedure)
40586003,43154000,Medical procedure on appendix (procedure),Medical procedure on large intestine (procedure)
440530004,387688006,Closed manual reduction of dislocation of interphalangeal joint (procedure),Manipulation of joint (procedure)
79480008,363152007,Operation on lymph node (procedure),Immune system surgical procedure (procedure)
40167001,394642008,"Toxicology screen, sedatives (procedure)",Drug screening test (procedure)
359966009,442460002,Repair of postoperative wound dehiscence of cornea (procedure),Procedure on wound (procedure)
16001000087103,24267008,Computed tomography angiography of left upper limb (procedure),Radiography of upper limb soft tissue (procedure)
26549000,373196008,Internal pelvic fixation of bone (procedure),Operative procedure on bone of lower extremity (procedure)
30918004,83422003,Radionuclide venous thrombosis study (procedure),Diagnostic procedure on blood vessel (procedure)
30918004,303809004,Radionuclide venous thrombosis study (procedure),Angiography of systems (procedure)
233271009,448685009,Percutaneous balloon angioplasty of celiac artery (procedure),Percutaneous transluminal angioplasty of celiac artery (procedure)
698852005,188383006,Repair of pseudoaneurysm of femoral artery (procedure),Surgical repair of lower extremity (procedure)
118136006,767002,T lymphocyte count (procedure),White blood cell count (procedure)
180102009,188383006,Correction of congenital deformity of hip (procedure),Surgical repair of lower extremity (procedure)
233289005,708872002,Percutaneous balloon angioplasty of crural artery (procedure),Percutaneous transluminal angioplasty of artery of lower limb (procedure)
73812006,12481008,Tenotomy of stapedius (procedure),Incision of middle ear (procedure)
439096006,438602007,Fluoroscopic percutaneous balloon test occlusion of anterior cerebral artery (procedure),Intracranial procedure using imaging guidance (procedure)
439096006,103714007,Fluoroscopic percutaneous balloon test occlusion of anterior cerebral artery (procedure),Occlusion of catheter (procedure)
440042002,385487005,Thoracoscopy with esophagomyotomy (procedure),Surgical procedure on thorax (procedure)
440042002,443466001,Thoracoscopy with esophagomyotomy (procedure),Evaluation of gastrointestinal tract (procedure)
50720003,363154008,"Nerve pedicle transfer, second stage (procedure)",Implantation of soft tissue (procedure)
59879002,16521006,Repair of aneurysm with graft of vertebral artery (procedure),Implantation of spine (procedure)
59879002,363154008,Repair of aneurysm with graft of vertebral artery (procedure),Implantation of soft tissue (procedure)
230921000,70586009,Revascularization of brain tissue (procedure),Operation on brain (procedure)
312645003,303131009,Percutaneous epididymal sperm aspiration (procedure),Aspiration of epididymis (procedure)
165194005,165193004,Assessment of fitness for occupational therapy (procedure),Assessment of fitness for rehabilitation (procedure)
174351000,363259005,Educational session with patient (procedure),Patient management procedure (procedure)
609158004,438602007,Percutaneous insertion of stent graft into vertebral artery using fluoroscopic guidance (procedure),Intracranial procedure using imaging guidance (procedure)
713135003,711014008,Assessment of peripheral tissue perfusion (procedure),Assessment of tissue perfusion (procedure)
229338009,229322003,Physiological mobilization of the glenohumeral joint (regime/therapy),Mobilizing the shoulder (regime/therapy)
704034004,223485006,Discussion about anticoagulation therapy (procedure),Discussion about therapy (procedure)
18751007,387694003,Manual reduction of closed fracture of medial condyle of humerus (procedure),Manipulation of elbow joint (procedure)
79181001,386544003,Cystourethroscopy with dilation of urethral stricture (procedure),Endoscopy of urethra (procedure)
428933002,414111007,Enzyme linked immunospot assay (procedure),Enzyme immunoassay method (procedure)
167083005,104784006,Plasma random triglyceride measurement (procedure),"Lipids, triglycerides measurement (procedure)"
17882003,287532007,Direct laryngoscopy with arytenoidectomy (procedure),Endoscopy of respiratory system (procedure)
311666009,311657005,Pacing of speech exercises (regime/therapy),Pacing of speech (regime/therapy)
179526002,257957004,Conversion from previous prosthetic interposition arthroplasty (procedure),Conversion from interposition arthroplasty (procedure)
58519008,45102007,Implantation of retinal attachment with buckling (procedure),Surgical repair of posterior segment of eye (procedure)
104155006,117043000,"Erythrocyte sedimentation rate, automated (procedure)",Automated laboratory procedure (procedure)
177162002,177161009,High forceps cephalic delivery with rotation (procedure),Forceps cephalic delivery (procedure)
175715003,708872002,Percutaneous transluminal angioplasty of femoral artery (procedure),Percutaneous transluminal angioplasty of artery of lower limb (procedure)
175715003,5431005,Percutaneous transluminal angioplasty of femoral artery (procedure),Percutaneous transluminal angioplasty (procedure)
448112002,83554005,Suturing of ligament of interphalangeal joint of hand (procedure),Operation on soft tissue of hand (procedure)
608776007,1417002,Open reduction of fracture of nasoethmoid complex with internal fixation (procedure),Operation on face (procedure)
417038009,700274009,Referral for dialysis (procedure),Referral for procedure (procedure)
233392006,118811002,Ligation of uterine artery (procedure),Procedure on artery of abdomen (procedure)
233392006,373392003,Ligation of uterine artery (procedure),Vascular surgery procedure on abdominal region (procedure)
39995007,281706009,Anesthesia for injection procedure for lumbar myelography (procedure),Injection of substance (procedure)
64980001,118441006,Drainage of hematoma of dentoalveolar structures (procedure),Evacuation of hematoma (procedure)
43129000,348003,Radionuclide dynamic function study with multiple probes (procedure),Radionuclide dynamic function study (procedure)
233244009,265499009,Transluminal operations on superior mesenteric artery (procedure),Transluminal operations on aorta (procedure)
231137001,118707002,Local anesthetic wrist block (procedure),Procedure on wrist (procedure)
16559321000119100,441987005,Fine needle aspiration biopsy of abdomen using computed tomography guidance (procedure),Imaging of abdomen (procedure)
178070008,118704009,Fasciotomy upper arm (procedure),Procedure on upper arm (procedure)
733967009,405611007,Local anesthetic thoracic paravertebral nerve block (procedure),Peripheral nerve plexus block (procedure)
733967009,387704000,Local anesthetic thoracic paravertebral nerve block (procedure),Local anesthetic nerve block in thorax (procedure)
167753008,441967009,Cerebrospinal fluid: electrophoresis (procedure),Evaluation of cerebrospinal fluid (procedure)
433682006,433587006,Fluoroscopic venography of renal vein using contrast with insertion of stent graft (procedure),Fluoroscopic angiography of graft using contrast with insertion of stent graft (procedure)
439539006,443558008,Percutaneous embolization of arteriovenous fistula of spinal dura using fluoroscopic guidance (procedure),Percutaneous embolization of arteriovenous fistula using fluoroscopic guidance (procedure)
450484007,386809009,Cesarean section through J shaped incision of uterus (procedure),Operation on fetus (procedure)
433240003,276984007,Percutaneous thrombolysis of pulmonary artery using fluoroscopic guidance (procedure),Percutaneous thrombolysis of artery (procedure)
433240003,120157003,Percutaneous thrombolysis of pulmonary artery using fluoroscopic guidance (procedure),Thorax destructive procedure (procedure)
251420007,252688006,Second glass contains mucous (procedure),Two glass urine test - second glass (procedure)
418867007,303809004,Fluoroscopic angiography of abdominal vascular structure (procedure),Angiography of systems (procedure)
391292001,250650002,Fluid sample estradiol level (procedure),Steroid hormone measurement (procedure)
703074000,118776007,Bile duct stent procedure using fluoroscopic guidance (procedure),Procedure on duct (procedure)
50141002,45102007,Scleral buckling with vitreous implant (procedure),Surgical repair of posterior segment of eye (procedure)
440036001,440044001,Transcranial Doppler ultrasonography of intracranial artery using microbubble contrast media for detection of emboli (procedure),Transcranial Doppler ultrasonography of intracranial artery for detection of emboli (procedure)
431516003,433587006,Fluoroscopic venography of superior vena cava using contrast with insertion of stent graft (procedure),Fluoroscopic angiography of graft using contrast with insertion of stent graft (procedure)
234877005,425846009,Repair fixed orthodontic appliance component (procedure),Repair of orthodontic appliance (procedure)
66077003,81229002,Ligation of varicocele (procedure),Ligation of spermatic cord (procedure)
438374004,302130002,Reconstruction of lamina of cervical vertebra with decompression of spinal cord (procedure),Decompression of cervical spine (procedure)
438374004,40330004,Reconstruction of lamina of cervical vertebra with decompression of spinal cord (procedure),Repair of spinal cord (procedure)
252713003,118709004,Stress test of finger collateral ligament (procedure),Procedure on finger (procedure)
271535005,250650002,Serum cortisol measurement (procedure),Steroid hormone measurement (procedure)
19994000,118879005,Division of cerebral nerve tracts (procedure),Procedure on nerve (procedure)
265641004,274492009,Packing to control postnatal vaginal bleeding (procedure),Insertion of pack to control vaginal bleeding (procedure)
252437002,241413009,Radiolabeled antimyosin antibody study (procedure),Radiolabeled antibody study (procedure)
288025005,41292000,Plicate urethrovesical junction (procedure),Repair of prostate (procedure)
310540006,767002,Eosinophil percent differential count (procedure),White blood cell count (procedure)
7177008,27290008,Horizontal osteotomy of mandible (procedure),Osteotomy of body of mandible (procedure)
59234009,172429005,"Iridectomy with corneoscleral section, optical (procedure)",Section of cornea (procedure)
243149007,243148004,Controlled mandatory ventilation with sigh (procedure),Controlled mandatory ventilation (procedure)
243149007,286812008,Controlled mandatory ventilation with sigh (procedure),Pressure controlled ventilation (procedure)
243149007,243150007,Controlled mandatory ventilation with sigh (procedure),Assisted controlled mandatory ventilation (procedure)
431494004,86201001,Extracorporeal shock wave lithotripsy of tendon using ultrasound guidance (procedure),Destructive procedure of musculoskeletal system (procedure)
59196003,43319003,Pharyngoplasty with silastic implant (procedure),Implantation of pharynx (procedure)
89370000,363154008,Transplantation of hair follicles of eyelid (procedure),Implantation of soft tissue (procedure)
430294007,233182007,Reposition of permanent cardiac pacemaker using fluoroscopic guidance (procedure),Permanent cardiac pacemaker procedure (procedure)
238351000,118739009,Obliteration of pleural space with muscle flap (procedure),Procedure on muscle (procedure)
241497006,118746000,Ultrasound scan of shoulder joint (procedure),Procedure on shoulder joint (procedure)
233096003,27755001,Construction of conduit - left ventricle to ascending aorta (procedure),Operation on vessels of heart (procedure)
180113007,180110005,Colonna osteotomy for congenital deformity of hip (procedure),Pelvic osteotomy for congenital deformity of hip (procedure)
417073006,700274009,Referral for hematuria (procedure),Referral for procedure (procedure)
82152007,118754003,Cauterization of mammary gland (procedure),Procedure on gland (procedure)
372040007,363259005,Confirming patient identity prior to procedure (procedure),Patient management procedure (procedure)
234798001,173307000,Final cementation of crown to tooth - preformed (procedure),Restoration of tooth (procedure)
233072008,27755001,Construction of conduit - right ventricle to right pulmonary artery (procedure),Operation on vessels of heart (procedure)
407981000119107,709631008,Percutaneous biopsy of kidney using computed tomography guidance (procedure),Biopsy of retroperitoneum using computed tomography guidance (procedure)
407981000119107,362995002,Percutaneous biopsy of kidney using computed tomography guidance (procedure),Biopsy of urinary tract (procedure)
432046006,1529009,Percutaneous aspiration thrombectomy of mesenteric artery using fluoroscopy guidance (procedure),Aspiration of soft tissue (procedure)
432046006,433128006,Percutaneous aspiration thrombectomy of mesenteric artery using fluoroscopy guidance (procedure),Aspiration of abdomen using fluoroscopic guidance (procedure)
698983008,363154008,Neurovascular island sensory skin flap (procedure),Implantation of soft tissue (procedure)
57673005,45330002,"Restoration, inlay, metallic, one surface (procedure)","Restoration, inlay, metallic (procedure)"
178688001,426498007,Primary bedrest stabilization of spinal fracture (procedure),Stabilization of spine (procedure)
439239007,433441002,Measurement of vancomycin in random specimen (procedure),Measurement of substance in specimen (procedure)
287907003,408860000,Hand plastic operation with implant (procedure),Plastic operation on hand with implant (procedure)
287907003,363319005,Hand plastic operation with implant (procedure),Surgical repair of upper extremity (procedure)
59325001,450347006,Fine needle biopsy of bronchus (procedure),Aspiration of bronchus (procedure)
37597002,386195006,Lithotripsy of bladder calculus with ultrasonic fragmentation (procedure),Lithotripsy of bladder calculus (procedure)
175788008,90010006,Ligation of acquired arteriovenous fistula (procedure),Ligation of blood vessel (procedure)
438368004,699575002,Grafting of nerve to hand (procedure),Grafting of hand (procedure)
176625008,75057001,Separation of labial adhesions (procedure),Lysis of adhesions of vulva (procedure)
175138006,450811002,Maintenance of battery of intravenous cardiac pacemaker system (procedure),Maintenance of battery of cardiac pacemaker system (procedure)
177429004,304102003,"Local rotation flap, myocutaneous (procedure)",Local rotation flap (procedure)
233115001,118810001,Ligation of major aortopulmonary collateral artery (procedure),Procedure on artery of thorax (procedure)
473180009,440546007,Discussion about diabetic ketoacidosis in pregnancy (procedure),Discussion about pregnancy (procedure)
18781004,700274009,Patient referral for vocational rehabilitation (procedure),Referral for procedure (procedure)
709566001,65837003,Magnetic resonance angiography of vertebral artery (procedure),Angiography of neck (procedure)
38965009,46142005,Rhytidectomy of upper eyelid (procedure),Repair of upper eyelid (procedure)
252231003,252249003,Food stimulated gastrin test (procedure),Food stimulation test (procedure)
231751005,288166008,Exchange of intraocular lens (procedure),Revision of prosthesis (procedure)
304469001,304485006,Interrupted direct current to abdomen (regime/therapy),Direct current to abdomen (regime/therapy)
78882004,165579001,Clotting factor IX assay (procedure),Factor IX assay (procedure)
431600009,303809004,Fluoroscopic angiography of internal iliac artery using contrast with insertion of stent (procedure),Angiography of systems (procedure)
441631000,442881005,Percutaneous transluminal angioplasty of inferior vena cava using fluoroscopic guidance (procedure),Percutaneous transluminal angioplasty of vein using radiologic guidance (procedure)
441631000,433106006,Percutaneous transluminal angioplasty of inferior vena cava using fluoroscopic guidance (procedure),Percutaneous transluminal angioplasty using fluoroscopic guidance (procedure)
232888003,232882002,Shortening operation on atrioventricular valve papillary muscle (procedure),Repair of atrioventricular valve (procedure)
446000007,445783008,Assessment using modified checklist for autism in toddlers (procedure),Assessment using checklist for autism in toddlers (procedure)
396072003,712991000,Management of Patient Bill of Rights policy (procedure),Management of safety (procedure)
396072003,363259005,Management of Patient Bill of Rights policy (procedure),Patient management procedure (procedure)
396072003,241718004,Management of Patient Bill of Rights policy (procedure),Protection of patient (procedure)
274427005,363326005,Therapeutic bursa aspiration (procedure),Therapeutic procedure on soft tissue (procedure)
442989006,715623000,Nerve block with injection of lumbar spine using fluoroscopic guidance (procedure),Imaging of peripheral nerve (procedure)
442989006,241123008,Nerve block with injection of lumbar spine using fluoroscopic guidance (procedure),Fluoroscopy of soft tissue (procedure)
431664002,433587006,Fluoroscopic venography of portal vein using contrast with insertion of stent graft (procedure),Fluoroscopic angiography of graft using contrast with insertion of stent graft (procedure)
174450000,20554002,Open insertion of cannula for perfusion of liver (procedure),Open insertion of therapeutic device (procedure)
235188008,235186007,Partial fundoplication using abdominal approach (procedure),Total fundoplication using abdominal approach (procedure)
303813006,118673008,Digestive system angiography (procedure),Procedure on digestive system (procedure)
83550001,302413009,Resuture of wound of skin (procedure),Resuture of skin (procedure)
78585009,37508003,Transurethral electroresection of bladder neck (procedure),Operation on neck (procedure)
419431001,303809004,Fluoroscopic angiography of spinal artery (procedure),Angiography of systems (procedure)
440104006,29630005,Insertion of peripancreatic drain with gastrostomy (procedure),Operation on pancreas (procedure)
440104006,34969007,Insertion of peripancreatic drain with gastrostomy (procedure),Operation on retroperitoneum (procedure)
405415006,359551000,Angioplasty of internal carotid artery with vein (procedure),Angioplasty of vein (procedure)
173445003,384685001,Destruction of lesion of floor of mouth (procedure),Operation on oral cavity (procedure)
166850007,104784006,Serum random triglyceride measurement (procedure),"Lipids, triglycerides measurement (procedure)"
124014000,124013006,Reversed serum protein ratio (procedure),Serum protein ratio (procedure)
104118006,117356000,"Red blood cell count, automated, pleural fluid (procedure)","Blood cell count, automated (procedure)"
302336001,399097000,Local anesthetic cervical epidural block (procedure),Administration of anesthesia (procedure)
314615000,432556004,Aspiration of pancreatic lesion using ultrasonic guidance (procedure),Aspiration of abdomen using ultrasound guidance (procedure)
314615000,301428006,Aspiration of pancreatic lesion using ultrasonic guidance (procedure),Aspiration of pancreas (procedure)
427546003,72456008,Glue closure of skin wound (procedure),Repair of skin (procedure)
712538004,52785004,Radiofrequency ablation of renal cyst using fluoroscopic guidance (procedure),Destruction of lesion of kidney (procedure)
405329006,119669002,Injection of sclerosing agent into thigh vein (procedure),Injection into thigh (procedure)
117086000,281706009,"Intramuscular injection of Rabies immune globulin, human (procedure)",Injection of substance (procedure)
53879008,88834003,Creation of aortoceliac shunt (procedure),Construction of shunt (procedure)
55230008,77930002,Implantation of mammary artery into ventricle (procedure),Transplantation of artery (procedure)
55230008,118810001,Implantation of mammary artery into ventricle (procedure),Procedure on artery of thorax (procedure)
55230008,129212008,Implantation of mammary artery into ventricle (procedure),Grafting procedure of heart (procedure)
178146006,120219009,Tendon transfer to extensor tendon of hand (procedure),Implantation to forearm (procedure)
178146006,119663001,Tendon transfer to extensor tendon of hand (procedure),Transposition of tissue of hand (procedure)
178146006,449622002,Tendon transfer to extensor tendon of hand (procedure),Transplantation of tissue of upper limb (procedure)
178146006,119661004,Tendon transfer to extensor tendon of hand (procedure),Transplantation of tissue of hand (procedure)
178146006,449656008,Tendon transfer to extensor tendon of hand (procedure),Transposition of tissue of upper limb (procedure)
698087006,446775007,Collection of urine via indwelling suprapubic catheter (procedure),Collection of urine via indwelling urinary catheter (procedure)
440225002,440011007,Hypoxia altitude simulation test with supplemental oxygen titration (procedure),Hypoxia altitude simulation test (procedure)
50055008,86201001,Percutaneous denervation of facet (procedure),Destructive procedure of musculoskeletal system (procedure)
50055008,57168000,Percutaneous denervation of facet (procedure),Operation on bone (procedure)
50055008,171799001,Percutaneous denervation of facet (procedure),Denervation of joint (procedure)
75793007,129181003,Suture of capsule of upper extremity (procedure),Procedure on joint of upper extremity (procedure)
9036004,373351007,Direct smear for ectoparasites (procedure),Surgical procedure on soft tissue (procedure)
238339002,8126004,Reconstruction of chest wall with local flap (procedure),Transposition of tissue of chest wall (procedure)
63547008,45821002,Caloric vestibular test with recording (procedure),Vestibular function test with recording (procedure)
418486006,373360004,Fluoroscopic angioplasty of mesenteric artery (procedure),Angioplasty of branches of abdominal aorta (procedure)
425631004,426887000,Fiberoptic endoscopic insertion of expanding covered metal stent into esophagus (procedure),Fiberoptic endoscopic insertion of expanding metal stent into esophagus (procedure)
443563007,303809004,Three dimensional rotational fluoroscopic angiography with contrast (procedure),Angiography of systems (procedure)
78601005,430230000,Anesthesia for percutaneous liver biopsy (procedure),Biopsy of trunk (procedure)
429933006,430403008,Percutaneous transluminal cutting balloon angioplasty of transplanted renal artery using fluoroscopic guidance (procedure),Percutaneous transluminal angioplasty of transplanted renal artery using fluoroscopic guidance (procedure)
243761009,243759000,Provision for addition to foot orthosis (procedure),Provision of addition to foot orthosis (procedure)
116868008,281706009,Intramuscular injection of Varicella virus immune globulin (procedure),Injection of substance (procedure)
281761002,112746006,"Repair of flexor tendon forearm, wrist, hand (procedure)",Operative procedure on hand (procedure)
281761002,24112000,"Repair of flexor tendon forearm, wrist, hand (procedure)",Operative procedure on wrist (procedure)
53016006,609638001,Deep incision with opening of bone cortex of pelvis (procedure),Operation on pelvic region of trunk (procedure)
359581008,173958005,Jejunoileostomy bypass shunt for obesity (procedure),Bypass of ileum (procedure)
359581008,287793003,Jejunoileostomy bypass shunt for obesity (procedure),Intestine bypass shunt (procedure)
129210000,129190005,Procedure on scapula (procedure),Procedure on bone of upper extremity (procedure)
86274005,426674009,Percutaneous transluminal vertebral artery balloon angioplasty (procedure),Percutaneous transluminal balloon angioplasty of artery (procedure)
52532008,129182005,Arrest of bone growth of tibia (procedure),Procedure on joint of lower extremity (procedure)
443269005,428563002,Percutaneous transluminal stent assisted coil embolization of cerebral aneurysm using fluoroscopic guidance (procedure),Stent assisted embolization of aneurysm using transluminal coil (procedure)
180258005,27581000,Injection of scar to reduce cicatrix (procedure),Intralesional injection of skin (procedure)
122366001,398513000,Hepatitis C virus ribonucleic acid assay (procedure),Hepatitis C nucleic acid assay (procedure)
233260008,426674009,Percutaneous balloon angioplasty of extracranial carotid artery (procedure),Percutaneous transluminal balloon angioplasty of artery (procedure)
233260008,175380003,Percutaneous balloon angioplasty of extracranial carotid artery (procedure),Percutaneous transluminal angioplasty of carotid artery (procedure)
80197005,57378007,"Arylsulfatase A measurement, urine (procedure)","Protein measurement, urine (procedure)"
173253009,61892004,Reconstruction of lip with a rotational advancement flap (procedure),Repair with advancement (procedure)
42826002,135840009,Systemic arterial pressure monitoring (regime/therapy),Blood pressure monitoring (regime/therapy)
438619009,443888005,Insertion of afterloading balloon catheter for radiotherapy into breast using imaging guidance (procedure),Insertion of balloon catheter into breast for radiotherapy (procedure)
77109005,444592004,Direct closure of sinus venosus with anomalous pulmonary venous drainage (procedure),Drainage of mediastinum (procedure)
90711000,363278005,Radiography of uterus (procedure),Radiographic procedure on pelvic region (procedure)
231384007,8505009,Intrathecal neurolysis of sacral roots (procedure),Neurolysis of peripheral nerve (procedure)
231384007,24456005,Intrathecal neurolysis of sacral roots (procedure),Injection of soft tissue (procedure)
439705009,440561008,Suture of digital nerve of hand (procedure),Suture of nerve of hand (procedure)
90233004,239217007,"Open reduction of open sternoclavicular dislocation, chronic, with fascial graft (procedure)",Operation on lesion of fascia (procedure)
48452008,205919009,Excisional biopsy of sympathetic nerve ganglion (procedure),Excisional biopsy of sympathetic nerve (procedure)
287647007,61354007,Disarticulation at wrist (procedure),Arthrectomy of hand (procedure)
86528005,767002,Reactive lymphocyte count (procedure),White blood cell count (procedure)
170223003,700274009,Child: refer for surveillance (procedure),Referral for procedure (procedure)
122413000,398381009,Neisseria gonorrhoeae ribosomal ribonucleic acid assay (procedure),Neisseria gonorrhoeae nucleic acid assay (procedure)
104112007,117356000,"White blood cell count, automated, cerebrospinal fluid (procedure)","Blood cell count, automated (procedure)"
236254002,103717000,Endoscopic adjustment of prostatic stent (procedure),Manipulation of stent (procedure)
65334000,118710009,Anesthesia for procedure on lower extremity (procedure),Procedure on lower extremity (procedure)
408496007,390984007,Referral for quantitative ultrasound scan of heel (procedure),Referral for quantitative ultrasound scan (procedure)
66179003,430230000,Superficial biopsy of soft tissue of flank (procedure),Biopsy of trunk (procedure)
104584009,104781003,Intermediate density lipoprotein cholesterol measurement (procedure),"Lipids, cholesterol measurement (procedure)"
426236005,239389004,Internal fixation of fracture of orbit (procedure),Fixation of bone of face - internal (procedure)
37140006,15593007,Chemical cauterization for destruction of lesion of uvula (procedure),Cauterization of pharynx (procedure)
37140006,173383003,Chemical cauterization for destruction of lesion of uvula (procedure),Cauterization of lesion of palate (procedure)
25653001,24464004,Partial ostectomy of femur (procedure),Operative procedure on femur (procedure)
172156002,225710005,Reconstruction of orbital cavity with mucosal graft (procedure),Implantation of orbit (procedure)
24221008,442190001,Repair of rectovesical fistula with colostomy (procedure),Construction of external stoma of urinary system (procedure)
425644009,426250000,Intrauterine insemination with controlled ovarian hyperstimulation using donor sperm (procedure),Intrauterine insemination using donor sperm (procedure)
78476007,45606006,Injection of therapeutic substance into bursa of hand (procedure),Injection of therapeutic substance into soft tissue of hand (procedure)
230999006,16521006,Repair of spinal cord meninges for cerebrospinal fluid fistula using local tissue flap (procedure),Implantation of spine (procedure)
309627007,428471000124108,Child referral - clinical psychologist (procedure),Referral to clinical psychologist (procedure)
79632004,129182005,Disarticulation of toe (procedure),Procedure on joint of lower extremity (procedure)
79632004,107784002,Disarticulation of toe (procedure),Surgical procedure on lower extremity (procedure)
447038002,2315006,Ligation of blood vessel of cerebral meninges (procedure),Operation on cerebral meninges (procedure)
36563001,45009000,Tenodesis for rupture of biceps tendon at elbow (procedure),Operative procedure on elbow (procedure)
713684007,711181007,Aspiration of axilla using ultrasonographic guidance (procedure),Aspiration of upper limb using ultrasonographic guidance (procedure)
713684007,432539007,Aspiration of axilla using ultrasonographic guidance (procedure),Aspiration of thorax using ultrasound guidance (procedure)
177442004,304099003,"Local transposition flap, fasciocutaneous (procedure)",Local transposition flap (procedure)
249848005,5282006,Pharyngoplasty for cleft palate (procedure),Operation on oropharynx (procedure)
249848005,43319003,Pharyngoplasty for cleft palate (procedure),Implantation of pharynx (procedure)
249848005,373351007,Pharyngoplasty for cleft palate (procedure),Surgical procedure on soft tissue (procedure)
249848005,275189005,Pharyngoplasty for cleft palate (procedure),Repair of nasopharynx (procedure)
249848005,363154008,Pharyngoplasty for cleft palate (procedure),Implantation of soft tissue (procedure)
180885006,399097000,Local anesthetic lumbar epidural block (procedure),Administration of anesthesia (procedure)
313401003,250650002,Plasma cortisol measurement (procedure),Steroid hormone measurement (procedure)
313963009,250650002,Plasma etiocholanolone measurement (procedure),Steroid hormone measurement (procedure)
428784009,429774000,Selective internal radiotherapy to lesion of liver using microspheres (procedure),Radiotherapy to abdomen (procedure)
27839000,8462008,Division of cartilage of finger (procedure),Arthrotomy of finger (procedure)
59601001,1417002,Dermabrasion of face (procedure),Operation on face (procedure)
441542001,428341005,Percutaneous transluminal insertion of stent into axillary vein using fluoroscopic guidance (procedure),Percutaneous transluminal insertion of stent into vein (procedure)
173400002,173399009,Repair of defect of palate with skin flap (procedure),Repair of defect of palate with flap of palate (procedure)
449406009,418202009,Radiofrequency ablation of nerve root of cervical spine using fluoroscopic guidance (procedure),Fluoroscopy of spine (procedure)
440558007,439992006,Closed manual reduction of articular fracture of metacarpophalangeal joint (procedure),Closed reduction of articular fracture of metacarpophalangeal joint (procedure)
240932003,405347000,Percutaneous thrombolysis of celiac artery (procedure),Thrombolysis of aorta (procedure)
240932003,108193009,Percutaneous thrombolysis of celiac artery (procedure),Abdomen destructive procedure (procedure)
