Subtype concept ID, Supertype concept ID, Subtype FSN, Supertype FSN
102979008,102978000,"Nerve fiber action potential, function (observable entity)","Nerve potential, function (observable entity)"
363842005,363841003,Feature of turning balance when walking (observable entity),Feature of walking balance (observable entity)
714892009,714893004,Ability to transfer from chair to toilet (observable entity),Ability to transfer from toilet to chair (observable entity)
246436001,246435002,Number of fetuses started with (observable entity),Number of fetuses (observable entity)
249044008,364073003,Fetal heart rhythm (observable entity),Feature of heart rhythm (observable entity)
249866000,301998005,Ability to move from a position (observable entity),Ability to move (observable entity)
364285004,364260008,Contents of cervix (observable entity),Contents of uterus (observable entity)
713521005,364686006,Concentration of sperm (observable entity),Feature of sperm (observable entity)
12367005,363188002,"Lipid peroxidation, function (observable entity)",Lipid metabolic function (observable entity)
298505002,364422002,Thoracic spine - range of movement (observable entity),Movement of thoracic spine (observable entity)
427598001,426377006,End tidal halothane concentration (observable entity),Respired halothane concentration (observable entity)
427598001,427034007,End tidal halothane concentration (observable entity),Expired halothane concentration (observable entity)
251965006,251964005,Intravesical contraction pressure at maximum flow (observable entity),Intravesical pressure at maximum flow (observable entity)
251965006,251963004,Intravesical contraction pressure at maximum flow (observable entity),Maximum intravesical pressure (observable entity)
185052000,363268007,"Protein binding capacity, function (observable entity)",Protein metabolic function (observable entity)
427701001,409741005,Distance of sarcoma from closest bone margin (observable entity),Distance of tumor from closest bone margin (observable entity)
270477000,267050002,Type of gastrointestinal tract pain (observable entity),Site of gastrointestinal tract pain (observable entity)
47710002,363245003,"Nucleic acid renaturation, function (observable entity)",Nucleic acid metabolic function (observable entity)
313276007,271529005,Peak expiratory flow rate before bronchodilation (observable entity),Peak flow rate before bronchodilation (observable entity)
397535006,386709002,Corrected visual acuity - right eye (observable entity),Visual acuity - right eye (observable entity)
228338003,225900005,Ability to control drinking (observable entity),Ability to control behavior (observable entity)
364448005,364529009,Appearance of skin of abdominal wall (observable entity),Appearance of skin (observable entity)
397880004,250791006,Respired nitric oxide concentration (observable entity),Respired nitrogen concentration (observable entity)
298634002,298600003,Range of lumbar spine left lateral flexion (observable entity),Range of flexion of lumbar spine (observable entity)
249101006,271692001,Positions of breech presentation (observable entity),Presentation of fetus (observable entity)
448906006,263501003,Time from onset of pain to administration of thrombolytic agent (observable entity),Time of onset (observable entity)
441774005,442371002,Start time of procedure room set up (observable entity),Start time of procedure (observable entity)
85994000,363188002,"Lipid mobilization, function (observable entity)",Lipid metabolic function (observable entity)
304278005,364142000,Taking sips of fluid (observable entity),Digestive system observable (observable entity)
446084001,445021002,Modified Harris hip score (observable entity),Harris hip score (observable entity)
299517008,364515008,Foot joint color (observable entity),Color of foot (observable entity)
363825004,250843004,Intracranial pressure observable (observable entity),Central nervous system pressure (observable entity)
427597006,427210008,End tidal sevoflurane concentration (observable entity),Expired sevoflurane concentration (observable entity)
427597006,426888005,End tidal sevoflurane concentration (observable entity),Respired sevoflurane concentration (observable entity)
364489008,364496005,Feature of musculoskeletal structure of thumb (observable entity),Feature of musculoskeletal structure of digit of hand (observable entity)
298773006,249927007,Shoulder joint - range of movement (observable entity),Movement of shoulder (observable entity)
419970001,286574007,Ability to verbalize: reduction of medication compliance barriers plan (observable entity),Ability to plan (observable entity)
249867009,301998005,Ability to move within a position (observable entity),Ability to move (observable entity)
396792003,371479009,"Tumor size, largest metastasis, additional dimension (observable entity)","Tumor size, largest dimension (observable entity)"
396792003,396361002,"Tumor size, largest metastasis, additional dimension (observable entity)","Lesion size, largest dimension (observable entity)"
301853000,247428002,Abdominal skin fold thickness (observable entity),Thickness of skin (observable entity)
364292009,364259003,Measure of cervix (observable entity),Measure of uterus (observable entity)
251960001,251959006,Maximum urethral closure pressure (observable entity),Maximum urethral pressure (observable entity)
397440000,399635006,Site of involved lymph node (observable entity),Site of lymph node (observable entity)
281397008,248241002,Glasgow coma score verbal response subscore (observable entity),Glasgow coma score (observable entity)
285027001,285021000,Ability to manage appliance when undressing (observable entity),Ability to manage appliance when dressing (observable entity)
102977005,102978000,"Compound sensory nerve action potential, function (observable entity)","Nerve potential, function (observable entity)"
364462003,417296002,Proportion of pelvic structure (observable entity),Pelvic structure observable (observable entity)
714986002,303361009,Ability to push with lower limb (observable entity),Ability to push (observable entity)
288870003,288852001,Ability to take drink to mouth (observable entity),Ability to drink (observable entity)
249169005,364335005,Speed of delivery of placenta (observable entity),Speed of delivery (observable entity)
298438008,298404000,Range of cervical spine left lateral flexion (observable entity),Range of flexion of cervical spine (observable entity)
63744003,80909000,First division of fifth cranial nerve function (observable entity),First cranial nerve function (observable entity)
364249004,364231004,Size of hymen (observable entity),Size of vagina (observable entity)
442336002,442137000,Completion time for preparation of patient in procedure room (observable entity),Completion time of procedure (observable entity)
299059001,249749006,Form of finger (observable entity),Form of hand (observable entity)
284608002,225900005,Ability to control aggression (observable entity),Ability to control behavior (observable entity)
249163006,249160009,Onset of pushing (in labor) (observable entity),Onset of second stage of labor (observable entity)
448878007,405796007,Time from onset of pain to call for help (observable entity),Time of call for help (observable entity)
448878007,263501003,Time from onset of pain to call for help (observable entity),Time of onset (observable entity)
364545006,247505001,Color of nail bed (observable entity),Color of nail (observable entity)
427452000,425421000,End tidal isoflurane concentration (observable entity),Expired isoflurane concentration (observable entity)
301850002,247428002,Biceps skin fold thickness (observable entity),Thickness of skin (observable entity)
364276004,364278003,Measure of uterine contractions (observable entity),Measure of gravid uterus (observable entity)
364276004,364259003,Measure of uterine contractions (observable entity),Measure of uterus (observable entity)
66471008,364111005,Oral stage of deglutition (observable entity),Oral cavity observable (observable entity)
405260009,397814002,Mode of ventilation monitoring features (observable entity),Mode of ventilation monitoring (observable entity)
286398004,286367001,Ability to speak fluently (observable entity),Ability to speak (observable entity)
364470008,364465001,Size of scapula (observable entity),Size of upper limb (observable entity)
56290004,363268007,"Protein hybridization, function (observable entity)",Protein metabolic function (observable entity)
277896005,250431005,Color of sputum (observable entity),Color of fluid (observable entity)
425402008,416954004,Geriatric depression score (observable entity),Depression anxiety stress scales depression score (observable entity)
249183007,364352009,Number of amnions in membranes (observable entity),Number of amniotic membranes (observable entity)
250786005,250781000,Respired carbon dioxide tension (observable entity),Respired carbon dioxide concentration (observable entity)
278663008,278664002,Incisor tooth inclination (observable entity),Incisor tooth angulation (observable entity)
251867002,251860000,Adequacy of peritoneal dialysis (observable entity),Peritoneal dialysis observable (observable entity)
441869008,442137000,Completion time of procedure room cleaning (observable entity),Completion time of procedure (observable entity)
364278003,364259003,Measure of gravid uterus (observable entity),Measure of uterus (observable entity)
370980007,106164003,"Fine motor coordination, function (observable entity)",Motor coordination function (observable entity)
364426004,249707001,Form of lumbar spine (observable entity),Form of spine (observable entity)
186069009,363268007,"Protein binding, function (observable entity)",Protein metabolic function (observable entity)
282887007,282881008,Ability to pull to standing from sitting (observable entity),Ability to stand from sitting (observable entity)
224314008,276031006,Degree of integration into mainstream education (observable entity),Details of education (observable entity)
70414004,35184007,"Regulation of bile secretion, function (observable entity)","Bile secretion, function (observable entity)"
439907006,281559009,Number of sick days off work in last month (observable entity),Number of days off work (observable entity)
399428009,399668004,Status of invasive ovarian tumor omental implants (observable entity),Status of ovarian tumor omental implants (observable entity)
397534005,386708005,Corrected visual acuity - left eye (observable entity),Visual acuity - left eye (observable entity)
716611002,716158006,Revised Token Test score (observable entity),Token Test score (observable entity)
276350001,248334005,Subischial leg length (observable entity),Length of body (observable entity)
42054005,363252001,"Oxygen affinity, function (observable entity)",Oxygen metabolic function (observable entity)
251129002,251128005,Atrioventricular nodal slow pathway effective refractory period (observable entity),Atrioventricular nodal effective refractory period (observable entity)
718441000,720482000,Group Session Rating Scale score (observable entity),Session Rating Scale score (observable entity)
399274006,228849003,Actual brachytherapy dose (observable entity),Brachytherapy radiation dose (observable entity)
51864006,363245003,"Nucleic acid hybridization, function (observable entity)",Nucleic acid metabolic function (observable entity)
248317002,248303006,Distribution of body fat loss (observable entity),Distribution of body fat (observable entity)
276902009,276901002,Pulmonary vascular resistance index (observable entity),Pulmonary vascular resistance (observable entity)
444323003,248241002,Modified Glasgow coma score (observable entity),Glasgow coma score (observable entity)
299129008,249749006,Form of thumb (observable entity),Form of hand (observable entity)
409086003,409084000,Estimated maternal blood loss (observable entity),Estimated blood loss (observable entity)
1321000124107,401238003,Length of wound tunneling (observable entity),Length of wound (observable entity)
110308008,110305006,Group function in lateral excursion of teeth (observable entity),"Lateral excursion of teeth, function (observable entity)"
364378000,364372004,Form of nipple (observable entity),Form of breast (observable entity)
364001000,363993000,Appearance of ear canal (observable entity),Appearance of ear (observable entity)
248920001,248946002,Position of uterine cervix (observable entity),Position of uterus (observable entity)
386729001,386711006,Near visual acuity Jaeger's types - left eye (observable entity),Near visual acuity - left eye (observable entity)
250986003,310617002,Mitral valve function (observable entity),Heart valve function (observable entity)
30219002,47287008,Cochlear summating potential (observable entity),Hearing summating potential (observable entity)
43857005,8515003,Osteoclast turnover rate (observable entity),Bone turnover rate (observable entity)
299550008,250113004,Subtalar joint stability (observable entity),Foot joint stability (observable entity)
364283006,364256005,Arrangement of uterine cervix (observable entity),Arrangement of uterus (observable entity)
79217000,70514001,"Acme of uterine contraction, function (observable entity)","Uterine contraction, function (observable entity)"
425952009,426377006,Inspired halothane concentration (observable entity),Respired halothane concentration (observable entity)
364484003,364466000,Proportion of hand (observable entity),Proportion of upper limb (observable entity)
364514007,364498006,Proportion of foot (observable entity),Proportion of lower limb (observable entity)
718431003,720482000,Child Group Session Rating Scale score (observable entity),Session Rating Scale score (observable entity)
718431003,718762000,Child Group Session Rating Scale score (observable entity),Child Session Rating Scale score (observable entity)
298599001,364427008,Lumbar spine - range of movement (observable entity),Movement of lumbar spine (observable entity)
276900001,386530009,Systemic vascular resistance index (observable entity),Systemic vascular resistance (observable entity)
301852005,247428002,Scapular skin fold thickness (observable entity),Thickness of skin (observable entity)
419419003,386708005,Intermediate visual acuity - left eye (observable entity),Visual acuity - left eye (observable entity)
429153006,428531008,Speed of heart rate response (observable entity),Heart rate response (observable entity)
299485006,364516009,Foot joint - range of movement (observable entity),Movement of foot (observable entity)
415579001,364142000,Stage of deglutition (observable entity),Digestive system observable (observable entity)
249819004,249793006,Form of toes (observable entity),Form of foot (observable entity)
110310005,110307003,Group function in retrusive excursion of teeth (observable entity),"Retrusive excursion of teeth, function (observable entity)"
251799001,251797004,Axis of cylinder (observable entity),Power of cylinder (observable entity)
364377005,364371006,Appearance of nipple (observable entity),Appearance of breast (observable entity)
80185009,43414009,"Small bowel reverse peristalsis, function (observable entity)","Small bowel peristalsis, function (observable entity)"
714894005,714895006,Ability to transfer from wheelchair to toilet (observable entity),Ability to transfer from toilet to wheelchair (observable entity)
38080001,66332009,"Reciprocal innervation, function (observable entity)","Muscle innervation, function (observable entity)"
252702001,20910001,Reverse pivot shift test response (observable entity),Pivot shift test response (observable entity)
415921007,364537001,Temperature of forehead using skin strip thermometer (observable entity),Temperature of skin (observable entity)
364309009,248961001,Duration measure of menstruation (observable entity),Measure of duration of menstrual cycle (observable entity)
714890001,714891002,Ability to transfer from wheelchair to bed (observable entity),Ability to transfer from bed to wheelchair (observable entity)
89328005,35184007,"Stimulation of bile secretion, function (observable entity)","Bile secretion, function (observable entity)"
364608005,271692001,Position of vertex presentation (observable entity),Presentation of fetus (observable entity)
718164005,718038001,Therapy Outcome Measure carer wellbeing score (observable entity),Therapy Outcome Measure wellbeing score (observable entity)
251793000,74155003,Field of uniocular fixation (observable entity),Field of fixation (observable entity)
298427008,298404000,Range of cervical spine right lateral flexion (observable entity),Range of flexion of cervical spine (observable entity)
68742001,83323007,"Osteoid formation, function (observable entity)","Bone formation, function (observable entity)"
228848006,228849003,Brachytherapy radiation dose rate (observable entity),Brachytherapy radiation dose (observable entity)
299629007,250113004,Toe joint stability (observable entity),Foot joint stability (observable entity)
286405005,286367001,Ability to speak intelligibly (observable entity),Ability to speak (observable entity)
282929007,301998005,Ability to move from lying to sitting (observable entity),Ability to move (observable entity)
364421009,249707001,Form of thoracic spine (observable entity),Form of spine (observable entity)
6230002,47497002,"Extinction of conditioned response, function (observable entity)","Conditioned response, function (observable entity)"
278089007,364333003,Length of cervix in labor (observable entity),Measure of labor (observable entity)
446038006,443223005,Brief pain coping inventory score (observable entity),Brief pain inventory score (observable entity)
425724007,426888005,Inspired sevoflurane concentration (observable entity),Respired sevoflurane concentration (observable entity)
299637004,299517008,Toe joint color (observable entity),Foot joint color (observable entity)
299637004,364515008,Toe joint color (observable entity),Color of foot (observable entity)
714898008,714899000,Ability to transfer from wheelchair to car (observable entity),Ability to transfer from car to wheelchair (observable entity)
364282001,364255009,Consistency of uterine cervix (observable entity),Consistency of uterus (observable entity)
301851003,247428002,Triceps skin fold thickness (observable entity),Thickness of skin (observable entity)
364290001,364262000,Characteristic of sensation of cervix (observable entity),Sensation of uterus (observable entity)
29772000,363268007,"Protein denaturation, function (observable entity)",Protein metabolic function (observable entity)
45071003,363245003,"Nucleic acid denaturation, function (observable entity)",Nucleic acid metabolic function (observable entity)
284133000,301998005,Ability to move body part (observable entity),Ability to move (observable entity)
399496002,399392001,Distance of ductal carcinoma in situ from closest margin (observable entity),Distance of in situ carcinoma from closest margin (observable entity)
364553003,276324000,Color of nasal mucosa (observable entity),Color of mucosa (observable entity)
399057003,228849003,Prescribed dose of brachytherapy (observable entity),Brachytherapy radiation dose (observable entity)
397296009,397298005,Contact lens power curve (observable entity),Contact lens power (observable entity)
445210000,445389005,Percentage of predicted forced vital capacity (observable entity),Percentage of predicted vital capacity (observable entity)
718458005,716613004,Child Outcome Rating Scale total score (observable entity),Outcome Rating Scale total score (observable entity)
284305009,284256002,Ability to release grip (observable entity),Ability to grip (observable entity)
426034004,409742003,Distance of sarcoma from closest soft tissue margin (observable entity),Distance of tumor from closest soft tissue margin (observable entity)
442534000,442385007,Time of patient arrival in procedure room holding area (observable entity),Time of patient arrival in procedure room (observable entity)
364251000,364233001,Arrangement of hymen (observable entity),Arrangement of vagina (observable entity)
23565006,30878009,"Anorectal motility, function (observable entity)","Large bowel motility, function (observable entity)"
364622005,249043002,Feature of baseline fetal heart rate (observable entity),Fetal heart rate (observable entity)
363826003,250843004,Cerebrospinal fluid pressure observable (observable entity),Central nervous system pressure (observable entity)
446664001,447277005,Modified checklist for autism in toddlers score (observable entity),Checklist for autism in toddlers score (observable entity)
714889005,714888002,Ability to transfer from bed to chair (observable entity),Ability to transfer from chair to bed (observable entity)
426988006,425621006,End tidal desflurane concentration (observable entity),Expired desflurane concentration (observable entity)
85279009,70514001,"Diastolic phase of uterine contraction, function (observable entity)","Uterine contraction, function (observable entity)"
288603003,286361000,Ability to use the elements of language (observable entity),Ability to use language (observable entity)
408715008,397413000,Degree of blood vessel lumen diameter reduction (observable entity),Vessel lumen diameter (observable entity)
299527002,364516009,Subtalar joint - range of movement (observable entity),Movement of foot (observable entity)
299527002,299485006,Subtalar joint - range of movement (observable entity),Foot joint - range of movement (observable entity)
725884005,725885006,Movement Assessment Battery for Children Checklist Second Edition total score (observable entity),Movement Assessment Battery for Children Second Edition total score (observable entity)
364005009,363993000,Appearance of tympanic membrane (observable entity),Appearance of ear (observable entity)
425875003,426524000,End tidal enflurane concentration (observable entity),Expired enflurane concentration (observable entity)
718762000,720482000,Child Session Rating Scale score (observable entity),Session Rating Scale score (observable entity)
364430001,364432009,Measure of lumbar spine (observable entity),Measure of spine (observable entity)
251936000,271306003,Best ever peak expiratory flow rate (observable entity),Best ever peak flow rate (respiratory) (observable entity)
298622005,298600003,Range of lumbar spine right lateral flexion (observable entity),Range of flexion of lumbar spine (observable entity)
250787001,250782007,Inspired carbon dioxide tension (observable entity),Inspired carbon dioxide concentration (observable entity)
373197004,396361002,"Polyp size, largest dimension (observable entity)","Lesion size, largest dimension (observable entity)"
395509006,396362009,"Polyp size, additional dimension (observable entity)","Lesion size, additional dimension (observable entity)"
364400009,364401008,Feature of fluid loss (observable entity),Feature of fluid balance (observable entity)
364280009,364254008,Form of uterine cervix (observable entity),Form of uterus (observable entity)
281395000,248241002,Glasgow coma score eye opening subscore (observable entity),Glasgow coma score (observable entity)
364486001,364467009,Measure of hand (observable entity),Measure of upper limb (observable entity)
364287007,364282001,Feature of consistency of cervical mucous (observable entity),Consistency of uterine cervix (observable entity)
364287007,364255009,Feature of consistency of cervical mucous (observable entity),Consistency of uterus (observable entity)
16679002,13226008,"Inhibition of pancreatic secretion, function (observable entity)","Pancreatic secretion, function (observable entity)"
286411008,286367001,Ability to speak at normal rate (observable entity),Ability to speak (observable entity)
396515003,385393001,Distance of malignant melanoma from closest lateral margin (observable entity),Distance of malignant neoplasm from closest lateral margin (observable entity)
364311000,364310004,Duration of menstrual period (observable entity),Duration of menstrual cycle (observable entity)
129008009,364142000,"Bowel control, function (observable entity)",Digestive system observable (observable entity)
249521002,162098000,Frequency of bowel action (observable entity),Frequency of defecation (observable entity)
396402005,371487005,"Tumor extent of invasion, macroscopic (observable entity)",Tumor extent of invasion (observable entity)
224476002,224494008,Availability of help from lay carer (observable entity),Availability of informal carer (observable entity)
446964003,447268003,Large Allen cognitive level screening score (observable entity),Allen cognitive level screening score (observable entity)
364380006,364374003,Color of nipple (observable entity),Color of breast (observable entity)
281053000,268476009,Sex of baby at delivery (observable entity),Sex of baby (observable entity)
441868000,442371002,Start time of procedure room cleaning (observable entity),Start time of procedure (observable entity)
304293009,364142000,Drinking hot drink (observable entity),Digestive system observable (observable entity)
